service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS22022-hbb22017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20220313,20220618,Spring
BUS22022-hbc22017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20220313,20220618,Spring
BUS22022-hbg22017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20220313,20220618,Spring
BUS22022-hbl22017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20220313,20220618,Spring
BUS22022-hbq22017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20220313,20220618,Spring
BUS22022-hbs22017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20220313,20220618,Spring
BUS22022-hbt22017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20220313,20220618,Spring
BUS32022-hba32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbb32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbb32hl7-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20220619,20220827,Summer
BUS32022-hbc32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbc32hl7-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20220619,20220827,Summer
BUS32022-hbf32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbg32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbg32hl7-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20220619,20220827,Summer
BUS32022-hbl32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbl32hl7-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20220619,20220827,Summer
BUS32022-hbq32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbq32hl7-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20220619,20220827,Summer
BUS32022-hbs32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbs32hl7-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20220619,20220827,Summer
BUS32022-hbt32011-Weekday-02,Weekday schedule,Weekday,Weekday,1,20220619,20220827,Summer
BUS32022-hbt32hl7-Sunday-02,Holiday (Sunday schedule),Holiday,Sunday,3,20220619,20220827,Summer
Boat-F1-Saturday-Summer-22,Saturday schedule,Saturday,Saturday,1,20220523,,Summer
Boat-F1-SaturdayExpanded-Summer-22,Saturday schedule,Saturday,Saturday,1,20220523,,Summer
Boat-F1-Sunday-Summer-22,Sunday schedule,Sunday,Sunday,1,20220523,,Summer
Boat-F1-SundayExpanded-Summer-22,Sunday schedule,Sunday,Sunday,1,20220523,,Summer
Boat-F1-Weekday-Summer-22,Weekday schedule,Weekday,Weekday,1,20220523,,Summer
Boat-F1-WeekdayExpanded-Summer-22,Weekday schedule,Weekday,Weekday,1,20220523,,Summer
Boat-F4-Saturday-Summer-22,Saturday schedule,Saturday,Saturday,1,20220523,,Summer
Boat-F4-Sunday-Summer-22,Sunday schedule,Sunday,Sunday,1,20220523,,Summer
Boat-F4-Weekday-Summer-22,Weekday schedule,Weekday,Weekday,1,20220523,,Summer
CR-Newburyport-LateMayShuttle-Snd,Sunday schedule,Sunday,Sunday,4,20220523,,Spring/Summer
CR-Newburyport-LateMayShuttle-Std,Saturday schedule,Saturday,Saturday,4,20220523,,Spring/Summer
