service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS422-10-Sa-02,Saturday schedule,Saturday,Saturday,1,20220828,20221217,Fall
BUS422-11-Su-02,Sunday schedule,Sunday,Sunday,1,20220828,20221217,Fall
BUS422-12-Wdy-02,Weekday schedule,Weekday,Weekday,1,20220828,20221217,Fall
BUS422-13-Sa-02,Saturday schedule,Saturday,Saturday,1,20220828,20221217,Fall
BUS422-14-Su-02,Sunday schedule,Sunday,Sunday,1,20220828,20221217,Fall
BUS422-A-Wdy-02,Weekday schedule,Weekday,Weekday,1,20220828,20221217,Fall
BUS422-B-Wdy-02,Weekday schedule,Weekday,Weekday,1,20220828,20221217,Fall
BUS422-D-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20220828,20221217,Fall
BUS422-E-Wdy-02,Weekday schedule,Weekday,Weekday,1,20220828,20221217,Fall
BUS422-X-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20220828,20221217,Fall
BUS422-Y-Wdy-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20220828,20221217,Fall
BUS422-Z-Wdy-02,Weekday schedule,Weekday,Weekday,1,20220828,20221217,Fall
Boat-F1-SaFull-Smr-22,Saturday schedule,Saturday,Saturday,1,20220523,20220827,Summer
Boat-F1-SuFull-Smr-22,Sunday schedule,Sunday,Sunday,1,20220523,20220827,Summer
Boat-F1-Wdy-Fll-22,Weekday schedule,Weekday,Weekday,1,20220828,,Fall
Boat-F1-WdyFull-Smr-22,Weekday schedule,Weekday,Weekday,1,20220523,20220827,Summer
Boat-F4-Sa-Fll-22,Saturday schedule,Saturday,Saturday,1,20220828,,Fall
Boat-F4-Sa-Smr-22,Saturday schedule,Saturday,Saturday,1,20220523,20220827,Summer
Boat-F4-Su-Fll-22,Sunday schedule,Sunday,Sunday,1,20220828,,Fall
Boat-F4-Su-Smr-22,Sunday schedule,Sunday,Sunday,1,20220523,20220827,Summer
Boat-F4-Wdy-Fll-22,Weekday schedule,Weekday,Weekday,1,20220828,,Fall
Boat-F4-Wdy-Smr-22,Weekday schedule,Weekday,Weekday,1,20220523,20220827,Summer
CR-1-NorthStaAugShuttle-Snd,Sunday schedule,Sunday,Sunday,4,20220523,,Spring/Summer
CR-1-NorthStaAugShuttle-Std,Saturday schedule,Saturday,Saturday,4,20220523,,Spring/Summer
CR-1-NorthStationAugustShuttle-Wkd,Weekday schedule,Weekday,Weekday,4,20220523,,Spring/Summer
ColumbusDay-VeteransDay-DayafterThanksgivingDay,Weekday schedule (no school),Weekday (no school),Weekday,1,20220828,20221217,Fall
FallSaturday,Saturday schedule,Saturday,Saturday,1,20220828,20221217,Fall
FallSunday,Sunday schedule,Sunday,Sunday,1,20220828,20221217,Fall
FallWeekday,Weekday schedule,Weekday,Weekday,1,20220828,20221217,Fall
Green-E-AugSuperSurge-Snd,Sunday schedule (GLX/Government Center Garage construction),Sunday (GLX/Government Center Garage construction),Sunday,4,20220619,20221217,Summer/Fall
Green-E-AugSuperSurge-Std,Saturday schedule (GLX/Government Center Garage construction),Saturday (GLX/Government Center Garage construction),Saturday,4,20220619,20221217,Summer/Fall
Green-E-AugSuperSurge-Wkd,Weekday schedule (GLX/Government Center Garage construction),Weekday (GLX/Government Center Garage construction),Weekday,4,20220619,20221217,Summer/Fall
LRV422-1-Wdy-01-348444a5,Weekday schedule,Weekday,Weekday,4,20220828,20221217,Fall
LRV422-1-Wdy-01-KnrRvdNGLX,Weekday schedule,Weekday,Weekday,4,20220828,20221217,Fall
LRV422-1-Wdy-01-NGLX,Weekday schedule,Weekday,Weekday,1,20220828,20221217,Fall
LRV422-2-Sa-01-348444a5,Saturday schedule,Saturday,Saturday,4,20220828,20221217,Fall
LRV422-2-Sa-01-KnrRvdNGLX,Saturday schedule,Saturday,Saturday,4,20220828,20221217,Fall
LRV422-2-Sa-01-NGLX,Saturday schedule,Saturday,Saturday,1,20220828,20221217,Fall
LRV422-3-Su-01-348444a5,Sunday schedule,Sunday,Sunday,4,20220828,20221217,Fall
LRV422-3-Su-01-KnrRvdNGLX,Sunday schedule,Sunday,Sunday,4,20220828,20221217,Fall
